,score
2083,132.4
2084,134.75
2085,143.1
2086,153.7
2087,154.75
2088,153.75
2089,145.75
2090,144.6
2091,141.15
2092,142.85
2093,144.1
2094,146.1
2095,144.1
2096,147.1
2097,140.95
2098,139.65
2099,138.65
2100,139.1
2101,132.5
2102,138.95
2103,136.8
2104,133.4
2105,126.1
2106,115.45
2107,114.35
2108,115.05
2109,114.45
2110,110.6
2111,111.45
2112,109.6
2113,107.9
2114,109.45
2115,111.65
2116,108.8
2117,106.8
2118,105.4
2119,107.15
2120,107.75
2121,106.3
2122,107.1
2123,108.75
2124,113.4
2125,120.35
2126,128.3
2127,131.5
2128,133.4
2129,135.95
2130,146.85
2131,155.05
2132,164.75
